locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA	used
HNEAP_RS00350	HNEAP_RS00350	1	NC_013422.1	79194	79484	+	NA	PilZ domain-containing protein	0.6254	2	TRUE
HNEAP_RS00355	HNEAP_RS00355	1	NC_013422.1	79586	80446	-	NA	glutamate racemase	0.5877	17	TRUE
HNEAP_RS00360	HNEAP_RS00360	1	NC_013422.1	80598	80861	-	NA	Txe/YoeB family addiction module toxin	0.4848	7	TRUE
HNEAP_RS00365	HNEAP_RS00365	1	NC_013422.1	80858	81100	-	NA	prevent-host-death family protein	0.4691	7	TRUE
HNEAP_RS00370	HNEAP_RS00370	1	NC_013422.1	81093	81296	+	NA	hypothetical protein	0.4755	11	TRUE
HNEAP_RS00375	HNEAP_RS00375	1	NC_013422.1	81463	81732	-	NA	hypothetical protein	0.5296	4	FALSE
HNEAP_RS00380	HNEAP_RS00380	1	NC_013422.1	82067	82297	-	NA	hypothetical protein	0.5022	6	TRUE
HNEAP_RS00385	HNEAP_RS00385	1	NC_013422.1	82401	82835	-	NA	hypothetical protein	0.4483	17	TRUE
HNEAP_RS00390	HNEAP_RS00390	1	NC_013422.1	82918	83169	-	NA	hypothetical protein	0.4841	11	TRUE
HNEAP_RS00395	HNEAP_RS00395	1	NC_013422.1	83469	83678	-	NA	hypothetical protein	0.5571	3	TRUE
HNEAP_RS00400	HNEAP_RS00400	1	NC_013422.1	83787	83966	+	NA	hypothetical protein	0.5833	1	TRUE
HNEAP_RS00405	HNEAP_RS00405	1	NC_013422.1	84404	84736	-	NA	hypothetical protein	0.3664	16	TRUE
HNEAP_RS00410	HNEAP_RS00410	1	NC_013422.1	84810	85118	-	NA	hypothetical protein	0.5372	10	TRUE
HNEAP_RS00415	HNEAP_RS00415	1	NC_013422.1	85475	86020	-	NA	yfeABCD locus regulator	0.4505	16	TRUE
HNEAP_RS00420	HNEAP_RS00420	1	NC_013422.1	86050	86634	-	NA	ATPase	0.5504	16	TRUE
HNEAP_RS00425	HNEAP_RS00425	1	NC_013422.1	87553	87843	-	NA	DUF1330 domain-containing protein	0.3746	13	FALSE
HNEAP_RS00430	HNEAP_RS00430	1	NC_013422.1	87840	88211	-	NA	VOC family protein	0.4194	16	FALSE
HNEAP_RS00435	HNEAP_RS00435	1	NC_013422.1	88585	89196	-	NA	cation transporter	0.4804	34	TRUE
HNEAP_RS00440	HNEAP_RS00440	1	NC_013422.1	89303	89782	-	NA	N-acetyltransferase	0.5375	14	FALSE
HNEAP_RS00445	HNEAP_RS00445	1	NC_013422.1	90138	90461	-	NA	hypothetical protein	0.4722	12	TRUE
HNEAP_RS12420	HNEAP_RS12420	1	NC_013422.1	90867	91082	-	NA	hypothetical protein	0.4444	5	TRUE
HNEAP_RS00450	HNEAP_RS00450	1	NC_013422.1	91085	91495	-	NA	mercury transporter MerC	0.4696	17	TRUE
HNEAP_RS00455	HNEAP_RS00455	1	NC_013422.1	91540	91896	-	NA	hypothetical protein	0.5042	10	TRUE
HNEAP_RS00460	HNEAP_RS00460	1	NC_013422.1	91913	92266	-	NA	hypothetical protein	0.5395	11	TRUE
HNEAP_RS00465	HNEAP_RS00465	1	NC_013422.1	92363	93529	-	NA	hypothetical protein	0.4053	49	TRUE
HNEAP_RS00470	HNEAP_RS00470	1	NC_013422.1	93675	93935	+	NA	integrase	0.5134	8	TRUE
GFF94		7	NC_013422.1	94056	94408	+	NA	hypothetical protein	0.5354	11	TRUE
HNEAP_RS00480	HNEAP_RS00480	1	NC_013422.1	94568	95170	+	NA	class I SAM-dependent methyltransferase	0.5688	7	TRUE
HNEAP_RS00485	HNEAP_RS00485	1	NC_013422.1	95561	98821	-	NA	SNF2-like protein	0.5747	55	TRUE
HNEAP_RS00490	HNEAP_RS00490	1	NC_013422.1	99273	99587	+	NA	ferrous iron transport protein A	0.5937	5	TRUE
HNEAP_RS00495	HNEAP_RS00495	1	NC_013422.1	99584	99838	+	NA	ferrous iron transport protein A	0.5725	3	FALSE
HNEAP_RS00500	HNEAP_RS00500	1	NC_013422.1	99908	102244	+	NA	Fe(2+) transporter permease subunit FeoB	0.5627	41	FALSE
HNEAP_RS12055	HNEAP_RS12055	1	NC_013422.1	102268	102612	+	NA	hypothetical protein	0.5884	6	FALSE
HNEAP_RS00510	HNEAP_RS00510	1	NC_013422.1	102736	103629	-	NA	molecular chaperone DnaJ	0.5884	11	TRUE
HNEAP_RS00515	HNEAP_RS00515	1	NC_013422.1	103831	103956	-	NA	50S ribosomal protein L36	0.4683	3	FALSE
HNEAP_RS00520	HNEAP_RS00520	5	NC_013422.1	104152	104227	-	NA	tRNA-Phe	0.5526	2	FALSE
HNEAP_RS00525	HNEAP_RS00525	1	NC_013422.1	104375	104971	+	NA	imidazoleglycerol-phosphate dehydratase	0.5695	11	FALSE
HNEAP_RS00530	HNEAP_RS00530	1	NC_013422.1	104974	105624	+	NA	imidazole glycerol phosphate synthase subunit HisH	0.5822	14	FALSE
HNEAP_RS00535	HNEAP_RS00535	1	NC_013422.1	105661	106416	+	NA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	0.5913	12	FALSE
HNEAP_RS00540	HNEAP_RS00540	1	NC_013422.1	106496	107269	+	NA	imidazole glycerol phosphate synthase subunit HisF	0.615	7	FALSE
HNEAP_RS00545	HNEAP_RS00545	1	NC_013422.1	107266	107676	+	NA	phosphoribosyl-AMP cyclohydrolase	0.5693	7	FALSE
HNEAP_RS00550	HNEAP_RS00550	1	NC_013422.1	107663	108037	+	NA	phosphoribosyl-ATP diphosphatase	0.5733	6	FALSE
HNEAP_RS00555	HNEAP_RS00555	1	NC_013422.1	108062	108343	+	NA	twin-arginine translocase subunit TatA	0.5355	3	FALSE
HNEAP_RS12060	HNEAP_RS12060	1	NC_013422.1	108390	109016	+	NA	twin-arginine translocase subunit TatB	0.5598	6	FALSE
HNEAP_RS00565	HNEAP_RS00565	1	NC_013422.1	109082	110113	+	NA	twin-arginine translocase subunit TatC	0.5601	23	TRUE
HNEAP_RS00570	HNEAP_RS00570	1	NC_013422.1	110181	111722	+	NA	2 3-bisphosphoglycerate-independent phosphoglycerate mutase	0.5927	24	FALSE
HNEAP_RS00575	HNEAP_RS00575	1	NC_013422.1	111734	112534	-	NA	iron export ABC transporter permease subunit FetB	0.5955	12	TRUE
HNEAP_RS00580	HNEAP_RS00580	1	NC_013422.1	112531	113148	-	NA	ABC transporter	0.5437	10	TRUE
HNEAP_RS00585	HNEAP_RS00585	1	NC_013422.1	113272	114618	-	NA	hypothetical protein	0.5828	22	TRUE
HNEAP_RS00590	HNEAP_RS00590	1	NC_013422.1	114766	116844	+	NA	DNA helicase RecG	0.6013	21	TRUE
HNEAP_RS00595	HNEAP_RS00595	1	NC_013422.1	117014	117433	+	NA	Hsp20/alpha crystallin family protein	0.5571	5	TRUE
HNEAP_RS12065	HNEAP_RS12065	1	NC_013422.1	117857	118837	+	NA	AraC family transcriptional regulator	0.6483	14	TRUE
HNEAP_RS00605	HNEAP_RS00605	1	NC_013422.1	118927	120123	+	NA	OmpA family protein	0.6708	10	TRUE
HNEAP_RS00610	HNEAP_RS00610	1	NC_013422.1	120120	121379	+	NA	hypothetical protein	0.7175	6	TRUE
HNEAP_RS00615	HNEAP_RS00615	1	NC_013422.1	121407	121916	+	NA	hypothetical protein	0.5529	9	TRUE
HNEAP_RS00620	HNEAP_RS00620	1	NC_013422.1	121913	122284	+	NA	hypothetical protein	0.6075	6	TRUE
HNEAP_RS12070	HNEAP_RS12070	1	NC_013422.1	122315	123301	+	NA	AraC family transcriptional regulator	0.5633	20	TRUE
HNEAP_RS12075	HNEAP_RS12075	1	NC_013422.1	123488	126406	+	NA	outer membrane autotransporter barrel domain-containing protein	0.5725	68	TRUE
HNEAP_RS00635	HNEAP_RS00635	1	NC_013422.1	126577	127962	-	NA	diguanylate cyclase	0.6075	17	TRUE
HNEAP_RS00640	HNEAP_RS00640	1	NC_013422.1	127966	128337	-	NA	response regulator	0.5806	2	TRUE
HNEAP_RS00645	HNEAP_RS00645	1	NC_013422.1	128341	130917	-	NA	sensor histidine kinase	0.5813	35	TRUE
HNEAP_RS00650	HNEAP_RS00650	1	NC_013422.1	131115	131918	+	NA	serine/threonine-protein phosphatase	0.5908	11	TRUE
HNEAP_RS00655	HNEAP_RS00655	1	NC_013422.1	131937	133043	+	NA	magnesium and cobalt transport protein CorA	0.5402	25	TRUE
HNEAP_RS00660	HNEAP_RS00660	1	NC_013422.1	133150	134403	+	NA	glycosyltransferase family 1 protein	0.5789	28	TRUE
HNEAP_RS00665	HNEAP_RS00665	1	NC_013422.1	134342	134968	+	NA	phosphatase PAP2 family protein	0.5694	11	TRUE
HNEAP_RS00670	HNEAP_RS00670	1	NC_013422.1	135220	136077	+	NA	general secretion pathway protein GspC	0.5967	12	TRUE
HNEAP_RS00675	HNEAP_RS00675	1	NC_013422.1	136074	138251	+	NA	type II secretion system protein GspD	0.5822	38	TRUE
HNEAP_RS00680	HNEAP_RS00680	1	NC_013422.1	138262	139770	+	NA	type II secretion system protein GspE	0.611	20	TRUE
HNEAP_RS00685	HNEAP_RS00685	1	NC_013422.1	139777	141000	+	NA	type II secretion system protein GspF	0.5915	18	TRUE
HNEAP_RS00690	HNEAP_RS00690	1	NC_013422.1	141003	141503	+	NA	type II secretion system protein GspG	0.5669	10	TRUE
HNEAP_RS12080	HNEAP_RS12080	1	NC_013422.1	141512	142153	+	NA	prepilin-type cleavage/methylation domain-containing protein	0.5685	16	TRUE
HNEAP_RS12085	HNEAP_RS12085	1	NC_013422.1	142153	142545	+	NA	type II secretion system protein GspI	0.5878	10	TRUE
HNEAP_RS00705	HNEAP_RS00705	1	NC_013422.1	142542	143303	+	NA	type II secretion system protein GspJ	0.5945	6	TRUE
HNEAP_RS00710	HNEAP_RS00710	1	NC_013422.1	143300	144247	+	NA	general secretion pathway protein GspK	0.5897	20	TRUE
HNEAP_RS00715	HNEAP_RS00715	1	NC_013422.1	144220	145470	+	NA	type II secretory pathway component PulL-like protein	0.5947	16	TRUE
HNEAP_RS00720	HNEAP_RS00720	1	NC_013422.1	145507	146025	+	NA	type II secretion system protein M	0.5896	5	TRUE
HNEAP_RS00725	HNEAP_RS00725	1	NC_013422.1	146022	146858	+	NA	type II secretion system protein N	0.5866	17	TRUE
HNEAP_RS00730	HNEAP_RS00730	1	NC_013422.1	147180	147905	+	NA	DUF4395 domain-containing protein	0.5441	18	TRUE
HNEAP_RS00735	HNEAP_RS00735	1	NC_013422.1	148001	149407	-	NA	hypothetical protein	0.5245	46	TRUE
HNEAP_RS00740	HNEAP_RS00740	1	NC_013422.1	150296	152344	+	NA	BCCT family transporter	0.5476	39	TRUE
HNEAP_RS00745	HNEAP_RS00745	1	NC_013422.1	152452	153762	+	NA	MFS transporter	0.5873	26	TRUE
HNEAP_RS00750	HNEAP_RS00750	1	NC_013422.1	153774	155000	-	NA	MFS transporter	0.577	15	TRUE
HNEAP_RS12090	HNEAP_RS12090	1	NC_013422.1	155248	156309	+	NA	peptidoglycan-binding lysin domain-containing protein-containing protein	0.548	17	TRUE
HNEAP_RS00760	HNEAP_RS00760	1	NC_013422.1	156405	158078	-	NA	serine/threonine protein kinase	0.5639	35	TRUE
HNEAP_RS00765	HNEAP_RS00765	1	NC_013422.1	158292	158810	-	NA	phosphopeptide-binding protein	0.5318	14	TRUE
HNEAP_RS00770	HNEAP_RS00770	1	NC_013422.1	159004	159393	-	NA	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	0.5436	6	TRUE
HNEAP_RS00775	HNEAP_RS00775	1	NC_013422.1	159510	163034	+	NA	chromosome segregation protein SMC	0.6057	34	TRUE
HNEAP_RS00780	HNEAP_RS00780	1	NC_013422.1	163039	164034	+	NA	cell division protein ZipA	0.5703	11	FALSE
HNEAP_RS00785	HNEAP_RS00785	1	NC_013422.1	164040	166097	+	NA	NAD-dependent DNA ligase LigA	0.5982	33	FALSE
HNEAP_RS00790	HNEAP_RS00790	1	NC_013422.1	166155	167123	+	NA	octaprenyl diphosphate synthase	0.6109	15	FALSE
HNEAP_RS00795	HNEAP_RS00795	5	NC_013422.1	167157	167233	+	NA	tRNA-Pro	0.5714	5	TRUE
HNEAP_RS00800	HNEAP_RS00800	1	NC_013422.1	167318	167785	-	NA	Lrp/AsnC family transcriptional regulator	0.5513	10	TRUE
GFF160		7	NC_013422.1	168060	169853	+	NA	2-isopropylmalate synthase	0.5541	35	TRUE
HNEAP_RS00810	HNEAP_RS00810	1	NC_013422.1	169850	171724	+	NA	ABC transporter ATP-binding protein	0.5888	24	TRUE
HNEAP_RS00815	HNEAP_RS00815	1	NC_013422.1	171795	172319	+	NA	phosphohistidine phosphatase SixA	0.5752	4	TRUE
HNEAP_RS00820	HNEAP_RS00820	1	NC_013422.1	172415	172978	+	NA	rhombosortase	0.555	13	TRUE
HNEAP_RS00825	HNEAP_RS00825	1	NC_013422.1	173038	174135	+	NA	transaldolase	0.5638	23	TRUE
HNEAP_RS00830	HNEAP_RS00830	1	NC_013422.1	174196	174966	-	NA	hypothetical protein	0.537	10	TRUE
HNEAP_RS00835	HNEAP_RS00835	1	NC_013422.1	174963	175508	-	NA	RNA polymerase sigma factor	0.5421	8	TRUE
HNEAP_RS00840	HNEAP_RS00840	1	NC_013422.1	175789	176268	+	NA	hypothetical protein	0.55	6	TRUE
HNEAP_RS00845	HNEAP_RS00845	1	NC_013422.1	176452	177756	+	NA	phosphate porin	0.5464	38	TRUE
HNEAP_RS00850	HNEAP_RS00850	1	NC_013422.1	177803	178861	-	NA	sensor domain-containing diguanylate cyclase	0.576	17	TRUE
HNEAP_RS00855	HNEAP_RS00855	1	NC_013422.1	178858	179517	-	NA	protein disulfide oxidoreductase	0.5864	9	TRUE
HNEAP_RS00860	HNEAP_RS00860	1	NC_013422.1	179601	180782	+	NA	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	0.5854	16	FALSE
HNEAP_RS00865	HNEAP_RS00865	1	NC_013422.1	180787	181272	+	NA	dUTP diphosphatase	0.6111	11	TRUE
HNEAP_RS00870	HNEAP_RS00870	1	NC_013422.1	181310	182197	+	NA	acetylglutamate kinase	0.5631	12	FALSE
HNEAP_RS00875	HNEAP_RS00875	1	NC_013422.1	182540	182836	+	NA	hypothetical protein	0.5589	5	TRUE
HNEAP_RS00880	HNEAP_RS00880	1	NC_013422.1	182847	183539	-	NA	DUF4124 domain-containing protein	0.5036	10	TRUE
HNEAP_RS00885	HNEAP_RS00885	1	NC_013422.1	183708	184925	-	NA	MFS transporter	0.5739	18	TRUE
HNEAP_RS00890	HNEAP_RS00890	1	NC_013422.1	185244	185927	+	NA	ArsR family transcriptional regulator	0.595	13	TRUE
HNEAP_RS00895	HNEAP_RS00895	1	NC_013422.1	185924	186892	+	NA	ATPase AAA	0.6047	14	TRUE
HNEAP_RS00900	HNEAP_RS00900	1	NC_013422.1	187055	188128	+	NA	DUF58 domain-containing protein	0.6108	11	TRUE
HNEAP_RS00905	HNEAP_RS00905	1	NC_013422.1	188125	188670	+	NA	hypothetical protein	0.5971	6	TRUE
HNEAP_RS00910	HNEAP_RS00910	1	NC_013422.1	188678	189697	+	NA	VWA domain-containing protein	0.6049	17	TRUE
HNEAP_RS00915	HNEAP_RS00915	1	NC_013422.1	189700	191658	+	NA	hypothetical protein	0.5865	36	TRUE
HNEAP_RS00920	HNEAP_RS00920	1	NC_013422.1	191745	193094	+	NA	hypothetical protein	0.5689	29	TRUE
HNEAP_RS00925	HNEAP_RS00925	1	NC_013422.1	193091	193804	-	NA	hypothetical protein	0.5098	22	TRUE
HNEAP_RS00930	HNEAP_RS00930	1	NC_013422.1	194015	194362	-	NA	High potential iron-sulfur protein	0.5603	8	TRUE
HNEAP_RS00935	HNEAP_RS00935	1	NC_013422.1	194496	195998	+	NA	SELO family protein	0.5928	34	TRUE
HNEAP_RS00940	HNEAP_RS00940	1	NC_013422.1	196011	197153	-	NA	hypothetical protein	0.5713	24	TRUE
HNEAP_RS00945	HNEAP_RS00945	1	NC_013422.1	197336	197824	+	NA	diaminobutyrate acetyltransferase	0.5583	12	TRUE
HNEAP_RS00950	HNEAP_RS00950	1	NC_013422.1	197858	199147	+	NA	diaminobutyrate--2-oxoglutarate transaminase	0.5465	25	TRUE
HNEAP_RS00955	HNEAP_RS00955	1	NC_013422.1	199144	199551	+	NA	ectoine synthase	0.5441	7	TRUE
HNEAP_RS00960	HNEAP_RS00960	1	NC_013422.1	199779	200633	-	NA	inositol monophosphatase	0.5988	7	TRUE
HNEAP_RS00965	HNEAP_RS00965	1	NC_013422.1	200739	201752	-	NA	rhodanese	0.5621	18	TRUE
HNEAP_RS00970	HNEAP_RS00970	1	NC_013422.1	202045	202833	-	NA	DUF2076 domain-containing protein	0.6008	12	TRUE
HNEAP_RS00975	HNEAP_RS00975	1	NC_013422.1	202943	203884	-	NA	bifunctional riboflavin kinase/FAD synthetase	0.604	9	FALSE
HNEAP_RS00980	HNEAP_RS00980	1	NC_013422.1	204104	204946	+	NA	type II restriction endonuclease	0.3689	62	TRUE
HNEAP_RS00985	HNEAP_RS00985	1	NC_013422.1	204946	205860	+	NA	DNA adenine methylase	0.3858	52	FALSE
HNEAP_RS00990	HNEAP_RS00990	1	NC_013422.1	206010	206315	-	NA	DUF3240 domain-containing protein	0.5686	6	TRUE
HNEAP_RS00995	HNEAP_RS00995	1	NC_013422.1	206312	209416	-	NA	CusA/CzcA family heavy metal efflux RND transporter	0.5923	37	TRUE
HNEAP_RS01000	HNEAP_RS01000	1	NC_013422.1	209416	210552	-	NA	efflux RND transporter periplasmic adaptor subunit	0.6033	13	TRUE
HNEAP_RS01005	HNEAP_RS01005	1	NC_013422.1	210549	211937	-	NA	TolC family protein	0.599	15	TRUE
HNEAP_RS01010	HNEAP_RS01010	1	NC_013422.1	212094	212882	+	NA	DNA-binding response regulator	0.5754	16	TRUE
HNEAP_RS01015	HNEAP_RS01015	1	NC_013422.1	212879	214294	+	NA	two-component sensor histidine kinase	0.5664	30	TRUE
HNEAP_RS01020	HNEAP_RS01020	1	NC_013422.1	214686	216095	+	NA	glutamate--ammonia ligase	0.5504	30	FALSE
HNEAP_RS01025	HNEAP_RS01025	1	NC_013422.1	216269	216736	-	NA	tryptophan-rich sensory protein	0.5278	11	TRUE
